taxi_id     total_hours     total_distance_m
20000904	1961.0792	62788.70393239264
20000129	1649.7792	36543.72442616852
20000307	1587.1042	40016.54509424278
20000529	1507.2958	42389.15009105597
20000276	1419.8833	47078.20221150819
20000436	1410.6875	44299.7412328302
20000483	1397.7125	36174.843833972875
20000372	1387.1333	40687.94429219221
20000616	1349.1417	35407.60759532939
20000179	1324.2875	39841.171776499825
20000574	1301.9250	37556.280699259856
20000235	1287.8833	36729.59278323275
20000621	1282.4333	31987.930963325496
20000364	1280.4958	41602.18002992338
20000435	1277.5792	40993.15053004033
20000199	1270.7917	39565.22083962978
20000446	1266.6333	35163.6904925447
20000011	1266.1208	38498.32117718351
20000395	1263.8000	34208.19188213964
20000492	1262.5708	33193.58343256223
